时间,正向有功电能,A相电流,B相电流,C相电流,A相有功功率,B相有功功率,C相有功功率,视在功率,负载率
2025-06-01 00:00:00,9215940.0,426.24,445.57,561.91,95.46,99.93,126.97,330.36,0.264288
2025-06-01 01:00:00,9216270.0,393.85,447.48,535.16,88.51,100.62,121.57,320.59,0.256472
2025-06-01 02:00:00,9216579.0,373.9,419.1,519.39,84.6,95.11,118.83,306.91,0.24552800000000002
2025-06-01 03:00:00,9216908.0,423.06,480.36,601.83,94.36,107.21,135.1,353.0,0.2824
2025-06-01 04:00:00,9217232.0,390.27,463.63,555.34,87.63,104.43,125.72,331.83,0.265464
2025-06-01 05:00:00,9217581.0,417.88,473.25,592.72,93.44,106.42,133.29,349.02,0.27921599999999996
2025-06-01 06:00:00,9217907.0,458.84,502.47,591.82,103.09,111.8,132.53,365.54,0.292432
2025-06-01 08:00:00,9218663.0,628.86,743.56,862.43,140.52,166.35,192.75,512.43,0.409944
2025-06-01 09:00:00,9219197.0,636.92,804.99,982.94,143.66,181.35,222.42,557.65,0.44611999999999996
2025-06-01 10:00:00,9219743.0,626.73,784.67,933.03,144.46,180.13,215.62,549.15,0.43932
2025-06-01 11:00:00,9220282.0,656.79,837.5,971.6,148.93,189.69,220.83,573.44,0.45875200000000005
2025-06-01 12:00:00,9220848.0,702.51,833.84,992.67,159.06,188.64,225.37,587.05,0.46963999999999995
2025-06-01 13:00:00,9221394.0,624.68,759.1,861.11,141.18,171.24,194.11,521.52,0.417216
2025-06-01 14:00:00,9221920.0,589.99,730.88,864.44,133.96,165.63,197.34,506.5,0.4052
2025-06-01 15:00:00,9222467.0,751.42,915.3,1079.02,168.47,205.85,242.36,635.69,0.508552
2025-06-01 17:00:00,9223599.0,570.14,726.12,821.96,128.97,164.75,186.65,492.04,0.39363200000000004
2025-06-01 18:00:00,9224059.0,522.32,652.29,783.68,118.97,148.01,178.87,456.45,0.36516
2025-06-01 19:00:00,9224504.0,471.26,562.47,660.84,107.7,128.12,152.04,397.45,0.31795999999999996
2025-06-01 20:00:00,9224914.0,536.29,606.7,742.18,124.02,139.54,172.73,446.59,0.357272
2025-06-01 21:00:00,9225350.0,554.55,652.16,743.17,125.92,147.48,168.88,462.26,0.36980799999999997
2025-06-01 22:00:00,9225760.0,560.74,664.44,805.15,127.09,149.87,183.29,474.15,0.37932
2025-06-02 00:00:00,9226511.0,451.43,475.39,590.72,103.03,107.44,135.66,356.75,0.2854
2025-06-02 01:00:00,9226853.0,450.63,499.65,607.19,101.43,112.51,137.89,366.71,0.29336799999999996
2025-06-02 02:00:00,9227188.0,406.0,460.65,591.95,91.77,104.26,135.44,340.85,0.27268000000000003
2025-06-02 04:00:00,9227868.0,411.83,479.94,599.64,92.95,107.38,135.7,349.42,0.279536
2025-06-02 05:00:00,9228191.0,366.85,415.53,545.38,83.7,94.33,125.1,310.26,0.24820799999999998
2025-06-02 06:00:00,9228514.0,442.87,485.79,617.23,100.04,108.75,140.28,361.42,0.289136
2025-06-02 08:00:00,9229288.0,703.81,829.24,983.51,157.37,184.57,219.74,577.92,0.46233599999999997
